Designator,Mid X,Mid Y,Rotation,Layer
C1,89.899999,-133.7,0.0,top
C10,147.2,-137.0,90.0,top
C100,195.35,-66.6,270.0,top
C101,123.3,-66.425,90.0,top
C102,123.3,-74.625,90.0,top
C103,123.3,-82.4,90.0,top
C104,123.3,-90.5,90.0,top
C105,123.3,-98.5,90.0,top
C106,123.3,-106.6,90.0,top
C107,123.3,-114.55,90.0,top
C108,203.35,-66.45,90.0,top
C109,203.35,-74.45,90.0,top
C110,203.35,-82.5,90.0,top
C111,203.35,-90.55,90.0,top
C112,203.35,-98.45,90.0,top
C113,203.35,-106.5,90.0,top
C114,203.35,-114.5,90.0,top
C115,131.35,-114.65,270.0,top
C116,131.35,-106.6,270.0,top
C117,131.35,-98.65,270.0,top
C118,131.3,-90.6,270.0,top
C119,131.3,-82.65,270.0,top
C12,211.668641,-133.4,0.0,top
C120,131.3,-74.55,270.0,top
C121,131.3,-66.55,270.0,top
C122,211.35,-114.55,270.0,top
C123,211.35,-106.5,270.0,top
C124,211.35,-98.5,270.0,top
C125,211.35,-90.55,270.0,top
C126,211.35,-82.55,270.0,top
C127,211.35,-74.5,270.0,top
C128,211.35,-66.55,270.0,top
C129,139.35,-66.5,90.0,top
C13,145.349999,-137.2,90.0,top
C130,139.3,-74.55,90.0,top
C131,139.3,-82.45,90.0,top
C132,139.35,-90.45,90.0,top
C133,139.35,-98.55,90.0,top
C134,139.35,-106.5,90.0,top
C135,139.35,-114.6,90.0,top
C136,219.35,-66.5,90.0,top
C137,219.35,-74.6,90.0,top
C138,219.35,-82.5,90.0,top
C139,219.35,-90.45,90.0,top
C14,108.15,-122.0,90.0,top
C140,219.35,-98.5,90.0,top
C141,219.35,-106.5,90.0,top
C142,219.35,-114.5,90.0,top
C143,147.35,-114.55,270.0,top
C144,147.35,-106.55,270.0,top
C145,147.35,-98.65,270.0,top
C146,147.35,-90.6,270.0,top
C147,147.35,-82.55,270.0,top
C148,147.3,-74.6,270.0,top
C149,147.3,-66.6,270.0,top
C15,143.8,-137.2,90.0,top
C150,227.35,-114.55,270.0,top
C151,227.35,-106.6,270.0,top
C152,227.35,-98.6,270.0,top
C153,227.35,-90.5,270.0,top
C154,227.35,-82.55,270.0,top
C155,227.35,-74.6,270.0,top
C156,227.35,-66.55,270.0,top
C157,155.4,-66.5,90.0,top
C158,155.35,-74.45,90.0,top
C159,155.35,-82.45,90.0,top
C16,107.8,-124.3,0.0,top
C160,155.35,-90.45,90.0,top
C161,155.35,-98.45,90.0,top
C162,155.35,-106.55,90.0,top
C163,155.35,-114.6,90.0,top
C17,212.068641,-138.622575,180.0,top
C171,150.9,-57.2,270.0,top
C172,138.8,-57.1,270.0,top
C173,126.8,-57.1,270.0,top
C174,114.7,-57.0,270.0,top
C175,102.7,-57.3,270.0,top
C176,90.8,-57.35,270.0,top
C177,78.75,-57.1,270.0,top
C178,211.3,-57.1,270.0,top
C179,199.3,-57.0,270.0,top
C18,106.3,-121.799999,90.0,top
C180,187.1,-57.1,270.0,top
C181,175.0,-57.0,270.0,top
C182,163.0,-57.2,270.0,top
C183,149.9625,-122.6,0.0,top
C184,153.2625,-122.4,180.0,top
C185,163.025,-122.775,0.0,top
C186,145.9,-131.4,0.0,top
C187,158.56958,-137.34783,225.0,top
C19,209.668641,-135.822576,90.0,top
C2,89.7,-131.8,0.0,top
C20,95.2,-125.7,270.0,top
C21,142.2,-137.2,90.0,top
C22,95.4,-121.7,90.0,top
C23,93.8,-121.7,90.0,top
C24,75.3,-66.6,90.0,top
C25,75.3,-74.6,90.0,top
C26,75.3,-82.4,90.0,top
C27,75.3,-90.5,90.0,top
C28,75.3,-98.4,90.0,top
C29,75.3,-106.5,90.0,top
C3,80.4,-128.9,90.0,top
C30,75.3,-114.5,90.0,top
C31,83.35,-114.6,270.0,top
C32,83.3,-106.55,270.0,top
C33,83.3,-98.7,270.0,top
C34,83.3,-90.6,270.0,top
C35,83.3,-82.5,270.0,top
C36,83.3,-74.6,270.0,top
C37,83.3,-66.5,270.0,top
C38,163.35,-114.6,270.0,top
C39,163.35,-106.5,270.0,top
C4,191.075,-133.000001,0.0,top
C40,163.35,-98.55,270.0,top
C41,163.35,-90.6,270.0,top
C42,163.35,-82.55,270.0,top
C43,163.35,-74.55,270.0,top
C44,163.35,-66.55,270.0,top
C45,91.35,-66.5,90.0,top
C46,91.35,-74.475,90.0,top
C47,91.3,-82.55,90.0,top
C48,91.3,-90.35,90.0,top
C49,91.3,-98.45,90.0,top
C5,87.0,-132.950001,90.0,top
C50,91.3,-106.55,90.0,top
C51,91.3,-114.6,90.0,top
C52,171.35,-66.55,90.0,top
C53,171.35,-74.55,90.0,top
C54,171.35,-82.55,90.0,top
C55,171.35,-90.5,90.0,top
C56,171.35,-98.55,90.0,top
C57,171.35,-106.55,90.0,top
C58,171.35,-114.55,90.0,top
C59,99.35,-114.5,270.0,top
C6,92.2,-140.0,0.0,top
C60,99.3,-106.6,270.0,top
C61,99.3,-98.55,270.0,top
C62,99.3,-90.5,270.0,top
C63,99.35,-82.55,270.0,top
C64,99.35,-74.55,270.0,top
C65,99.35,-66.55,270.0,top
C66,179.35,-114.55,270.0,top
C67,179.35,-106.6,270.0,top
C68,179.35,-98.5,270.0,top
C69,179.35,-90.5,270.0,top
C7,166.28,-130.15,225.0,top
C70,179.35,-82.55,270.0,top
C71,179.35,-74.5,270.0,top
C72,179.35,-66.5,270.0,top
C73,107.3,-66.5,90.0,top
C74,107.3,-74.5,90.0,top
C75,107.3,-82.55,90.0,top
C76,107.3,-90.55,90.0,top
C77,107.3,-98.5,90.0,top
C78,107.35,-106.45,90.0,top
C79,107.35,-114.5,90.0,top
C8,81.1,-135.8,270.0,top
C80,187.35,-66.45,90.0,top
C81,187.35,-74.6,90.0,top
C82,187.35,-82.45,90.0,top
C83,187.35,-90.5,90.0,top
C84,187.35,-98.45,90.0,top
C85,187.35,-106.45,90.0,top
C86,187.35,-114.55,90.0,top
C87,115.3,-114.65,270.0,top
C88,115.3,-106.6,270.0,top
C89,115.3,-98.575,270.0,top
C90,115.3,-90.65,270.0,top
C91,115.3,-82.6,270.0,top
C92,115.3,-74.55,270.0,top
C93,115.3,-66.55,270.0,top
C94,195.35,-114.6,270.0,top
C95,195.35,-106.55,270.0,top
C96,195.35,-98.5,270.0,top
C97,195.35,-90.55,270.0,top
C98,195.35,-82.6,270.0,top
C99,195.4,-74.55,270.0,top
D1,86.7,-127.0,90.0,top
D10,79.9,-114.5,90.0,top
D100,127.85,-66.5,90.0,top
D101,207.9,-114.5,90.0,top
D102,207.9,-106.5,90.0,top
D103,207.9,-98.5,90.0,top
D104,207.9,-90.5,90.0,top
D105,207.9,-82.5,90.0,top
D106,207.9,-74.5,90.0,top
D107,207.9,-66.5,90.0,top
D108,135.9,-66.5,270.0,top
D109,135.85,-74.5,270.0,top
D11,79.9,-106.5,90.0,top
D110,135.85,-82.5,270.0,top
D111,135.85,-90.5,270.0,top
D112,135.85,-98.5,270.0,top
D113,135.9,-106.5,270.0,top
D114,135.9,-114.5,270.0,top
D115,215.9,-66.5,270.0,top
D116,215.9,-74.5,270.0,top
D117,215.9,-82.5,270.0,top
D118,215.9,-90.5,270.0,top
D119,215.9,-98.5,270.0,top
D12,79.9,-98.5,90.0,top
D120,215.9,-106.5,270.0,top
D121,215.9,-114.5,270.0,top
D122,143.9,-114.5,90.0,top
D123,143.9,-106.5,90.0,top
D124,143.9,-98.5,90.0,top
D125,143.9,-90.5,90.0,top
D126,143.9,-82.5,90.0,top
D127,143.85,-74.5,90.0,top
D128,143.85,-66.5,90.0,top
D129,223.9,-114.5,90.0,top
D13,79.9,-90.5,90.0,top
D130,223.9,-106.5,90.0,top
D131,223.9,-98.5,90.0,top
D132,223.9,-90.5,90.0,top
D133,223.9,-82.5,90.0,top
D134,223.9,-74.5,90.0,top
D135,223.9,-66.5,90.0,top
D136,151.9,-66.5,270.0,top
D137,151.9,-74.5,270.0,top
D138,151.9,-82.5,270.0,top
D139,151.9,-90.5,270.0,top
D14,79.9,-82.5,90.0,top
D140,151.9,-98.5,270.0,top
D141,151.9,-106.5,270.0,top
D142,151.9,-114.5,270.0,top
D15,79.9,-74.5,90.0,top
D150,154.68,-57.175,90.0,top
D151,142.6,-57.175,90.0,top
D152,130.52,-57.175,90.0,top
D153,118.44,-57.175,90.0,top
D154,106.36,-57.175,90.0,top
D155,94.28,-57.175,90.0,top
D156,82.2,-57.175,90.0,top
