Designator	NozzleNum	StackNum	Mid X	Mid Y	Rotation	Height	Speed	Vision	Check	Explanation
										
C1	1/2	B17	89.899999	-133.7	0.0	0.5	100	Accurate	Vision	0805 16 10uF X5R
C10	1/2	B17	147.2	-137.0	90.0	0.5	100	Accurate	Vision	0805 16 10uF X5R
C100	1/2	B18	195.35	-66.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C101	1/2	B18	123.3	-66.425	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C102	1/2	B18	123.3	-74.625	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C103	1/2	B18	123.3	-82.4	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C104	1/2	B18	123.3	-90.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C105	1/2	B18	123.3	-98.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C106	1/2	B18	123.3	-106.6	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C107	1/2	B18	123.3	-114.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C108	1/2	B18	203.35	-66.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C109	1/2	B18	203.35	-74.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C110	1/2	B18	203.35	-82.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C111	1/2	B18	203.35	-90.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C112	1/2	B18	203.35	-98.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C113	1/2	B18	203.35	-106.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C114	1/2	B18	203.35	-114.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C115	1/2	B18	131.35	-114.65	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C116	1/2	B18	131.35	-106.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C117	1/2	B18	131.35	-98.65	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C118	1/2	B18	131.3	-90.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C119	1/2	B18	131.3	-82.65	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C12	1/2	B15	211.668641	-133.4	0.0	0.5	100	Accurate	Vision	0603 12pF
C120	1/2	B18	131.3	-74.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C121	1/2	B18	131.3	-66.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C122	1/2	B18	211.35	-114.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C123	1/2	B18	211.35	-106.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C124	1/2	B18	211.35	-98.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C125	1/2	B18	211.35	-90.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C126	1/2	B18	211.35	-82.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C127	1/2	B18	211.35	-74.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C128	1/2	B18	211.35	-66.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C129	1/2	B18	139.35	-66.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C13	1/2	B16	145.349999	-137.2	90.0	0.5	100	Accurate	Vision	0603 50V 1uF 0603
C130	1/2	B18	139.3	-74.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C131	1/2	B18	139.3	-82.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C132	1/2	B18	139.35	-90.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C133	1/2	B18	139.35	-98.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C134	1/2	B18	139.35	-106.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C135	1/2	B18	139.35	-114.6	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C136	1/2	B18	219.35	-66.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C137	1/2	B18	219.35	-74.6	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C138	1/2	B18	219.35	-82.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C139	1/2	B18	219.35	-90.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C14	1/2	B18	108.15	-122.0	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C140	1/2	B18	219.35	-98.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C141	1/2	B18	219.35	-106.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C142	1/2	B18	219.35	-114.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C143	1/2	B18	147.35	-114.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C144	1/2	B18	147.35	-106.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C145	1/2	B18	147.35	-98.65	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C146	1/2	B18	147.35	-90.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C147	1/2	B18	147.35	-82.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C148	1/2	B18	147.3	-74.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C149	1/2	B18	147.3	-66.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C15	1/2	B18	143.8	-137.2	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C150	1/2	B18	227.35	-114.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C151	1/2	B18	227.35	-106.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C152	1/2	B18	227.35	-98.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C153	1/2	B18	227.35	-90.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C154	1/2	B18	227.35	-82.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C155	1/2	B18	227.35	-74.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C156	1/2	B18	227.35	-66.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C157	1/2	B18	155.4	-66.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C158	1/2	B18	155.35	-74.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C159	1/2	B18	155.35	-82.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C16	1/2	B16	107.8	-124.3	0.0	0.5	100	Accurate	Vision	0603 50V 1uF 0603
C160	1/2	B18	155.35	-90.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C161	1/2	B18	155.35	-98.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C162	1/2	B18	155.35	-106.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C163	1/2	B18	155.35	-114.6	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C17	1/2	B18	212.068641	-138.622575	180.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C171	1/2	B18	150.9	-57.2	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C172	1/2	B18	138.8	-57.1	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C173	1/2	B18	126.8	-57.1	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C174	1/2	B18	114.7	-57.0	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C175	1/2	B18	102.7	-57.3	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C176	1/2	B18	90.8	-57.35	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
